doc number,headline,doc length |D|,snippet,Doc path
77,EDs: UPDATES with Mass quotes color; edits throughout,423,SPLIT Croatia (AP) _ On a sun-basked seaside packed withpilgrims Pope John Paul II sought Sunday to heal the wounds leftby war and totalitarian rule urging a renewal of values inCroatian society.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981004.0165
78,Indonesian army slams East Timor terrorist attack threat,476,JAKARTA Indonesia (AP) _ Indonesia's military said Friday thatit was ready to act against a threat from an East Timor rebel groupto launch terrorist attacks.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981106.0551
79,East Timorese rebels hold two soldiers captive,322,DILI Indonesia (AP) _ Rebels in the disputed territory of EastTimor were holding two soldiers captive Wednesday after releasing11 others they abducted in a deadly raid.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981111.0598
80,EARLY RETURNS INDICATE RE-ELECTION OF CARDOSO IN BRAZIL ,730,RIO DE JANEIRO Brazil _ Brazilian voters appeared to re-electPresident Fernando Henrique Cardoso in the first round of ballotingSunday thus maintaining the leadership of a country strugglingagainst economic crisis. In preliminary returns Cardoso appeared to have defeated LuizInacio Lula da Silva the three-time presidential candidate of theleftist Workers Party with 56 percent of the vote a far strongershowing than polls initially predicted. Cabinet members gathering at the presidential palace in BrasiliaSunday night called the vote a mandate for reform which thepresident is under national and international pressure to carryout. With $30 billion having drained from federal reserves sinceRussia's economic collapse in late August and the Sao Paulo stockmarket down more than 40 percent this year the Braziliangovernment has been somewhat paralyzed by the approach ofelections.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/NYT19981004.0131
81,General Assembly votes to select three new judges for Hague,254,UNITED NATIONS (AP) _ The General Assembly voted Friday toselect three judges to fill a new trial chamber of the Yugoslav warcrimes tribunal whose caseload could grow with atrocitiescommitted during the Kosovo conflict.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981016.0667
82,PALESTINIAN AIRLINES TAKES TO THE AIR ,1136,RAFAH Gaza Strip _ Cruising at 19000 feet on Saturday in thecockpit of the first Palestinian Airlines flight to depart fromGaza's new international airport Capt.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/NYT19981206.0144
83,Israel threatens to close Palestinian airport over security,259,JERUSALEM (AP) _ Israel has threatened to close down thePalestinian-run Gaza airport over a security violation an Israeliofficial said Tuesday a move that could further undermine thealready fragile peace process.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981229.0763
84,ACCUSED OFFICIALS HAVE FEWER PLACES TO HIDE ,687,WASHINGTON _ The arrest of Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/NYT19981018.0185
85,Poland's death toll from fierce cold hits 85,192,WARSAW Poland (AP) _ The death toll from almost three weeks ofsub-zero temperatures reached 85 on Saturday after two men frozeto death in their unheated homes in northeastern Poland.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981205.0560
86,Pope John Paul II beatifies controversial World War II cardinal,684,MARIJA BISTRICA Croatia (AP) _ Declaring him a martyr of thefaith Pope John Paul II on Saturday honored Croatia's World War IIcardinal a hero to Roman Catholics but long a symbol of divisionsin the Balkans.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981003.0470
87,Pope John Paul II beatifies controversial World War II cardinal,689,MARIJA BISTRICA Croatia (AP) _ Declaring him a martyr of thefaith Pope John Paul II on Saturday honored Croatia's World War IIcardinal a hero to Roman Catholics but long a symbol of divisionsin the Balkans.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981003.0473
88,China's swimmers to challenge Japan at Asian Games,462,BEIJING (AP) _ Chinese swimmers missing some of their starsare eyeing Japan as the team to beat at the Asian Games inThailand an official report said Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981125.0256
89,China sends jailed dissident into exile ahead of other's trial,693,BEIJING (AP) _ China released a respected but ailing laborrights campaigner from a prison work camp Sunday and immediatelysent him into exile in the United States.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/APW19981220.0155
90,Israel delays two flights from Palestinian airport,92,JERUSALEM (AP) _ Israeli security officials delayed two planesfrom taking off from the Palestinian airport on Wednesday markingthe latest tensions in a rare area of Israeli-Palestiniancooperation.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981230.0991
91,Blast kills 2 bombers injures 16 others delays action on accord,864,JERUSALEM (AP) _ Suicide bombers targeted a crowded open-airmarket Friday setting off blasts that killed the two assailantsinjured 21 shoppers and passersby and prompted the Israeli Cabinetto put off action on the new peace accord.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981106.0851
92,WEATHER ,428,NATIONAL FORECAST &QL; Inclement weather will affect parts of the Northeast on Thursdayas developing low pressure lifts Atlantic moisture across theregion.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/NYT19981125.0289
93,Mubarak to visit Syria Turkey to ease military tensions,218,RIYADH Saudi Arabia (AP) _ President Hosni Mubarak of Egyptwill go to Syria and Turkey to help cool tensions between the twocountries which appear to be edging toward a military conflict atop Egyptian official said Saturday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981003.0645
94,FAA ASKS WHETHER AIRLINERS CAN GET TOO OLD TO FLY SAFELY? ,861,WASHINGTON _ The Federal Aviation Administration said onThursday that it would consider whether airliners can get too oldto fly which would be a change from its longstanding belief thatjets are eternal if they are inspected often enough. As a first step the agency said it would expand a program thatfocuses on the problems of aging aircraft.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/NYT19981001.0440
95,U.S. RECEIVED WARNING BEFORE NAIROBI EMBASSY BOMBING ,1051,NAIROBI Kenya _ Nine months before the attack on the AmericanEmbassy here U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981022.0453
96,Israel says it will stay out of Turkey-Syria dispute,185,JERUSALEM (AP) _ Israel is not involved in any way in thecurrent growing confrontations between Turkey and Syria aspokesman said Saturday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981003.0646
97,Zimbabwean president arrives in Egypt,164,CAIRO Egypt (AP) _ Zimbabwean President Robert Mugabe arrivedin Egypt Monday after meeting with Libyan leader Moammar Gadhafi.It was not clear if his plane flew directly from Libya in violationof a U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981123.1112
98,POPE CALLS FOR PEACE AND INTERNATIONAL AID IN THE BALKANS ,737,SPLIT Croatia _ At a seaside mass here Pope John Paul II calledfor reconciliation throughout the former Yugoslavia and urged theworld to do more for the victims of the Balkan war that ended notlong ago in Croatia and that has most recently raged in Kosovo. ``How could we not recall with anxious concern the continuingtragedy taking place in nearby Kosovo?'' the pope asked from a vastpodium built to look like a ship's prow before hundreds ofthousands of believers squeezed along the shore and onto boatsbobbing in the water.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/NYT19981004.0056
99,ANALYSIS: GUESSING AT CLINTON'S FATE ,1208,WASHINGTON _ For all the talk of duty and Constitution it wasnot all that difficult for the House to open a formal impeachmentinquiry into President Clinton Thursday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981008.0467
100,REPEATING to remove writethru designation.,541,BANGKOK Thailand (AP) _ Star striker Chen Yang scored a hattrick Wednesday for China in a lackluster 4-1 victory overCambodia securing his country a spot in the second soccer roundfor the 13th Asian Games.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981202.0568
101,Israel threatens to close Palestinian airport over security,263,JERUSALEM (AP) _ Israel has threatened to close down thePalestinian-run Gaza airport over a security violation an Israeliofficial said Tuesday a move that could further undermine thealready fragile peace process.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981229.0756
102,Officials: Bodies of four kidnapped foreigners found,205,GROZNY Russia (AP) _ Chechen officials said the bodies of fourkidnapped foreigners had been found Tuesday near a remote village.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981208.0286
103,Militants pull out all stops to halt accord that targets militants,778,JERUSALEM (AP) _ Islamic militants are pulling out all the stopsto keep the new U.S.-brokered Israeli-Palestinian peace accord frombecoming reality.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981107.0116
104,Militants pull out all stops to halt accord that targets militants,234,JERUSALEM (AP) _ Islamic militants are pulling out all the stopsto keep the new U.S.-brokered Israeli-Palestinian peace accord frombecoming reality.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981107.0118
105,POPE BEATIFIES A CROAT FANNING ENMITIES ,872,MARIJA BISTRICA Croatia _ Hailing the World War II archbishopof Zagreb as a martyr to ``the atrocities of the Communistsystem'' Pope John Paul II beatified him Saturday. Beatification is the final step before sainthood.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/NYT19981003.0187
106,2 VEHICLES USED IN TANZANIA BOMBING FBI SAYS ,566,DAR ES SALAAM Tanzania _ In a rare public statement about theAugust bombings of two U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981016.0283
107,EDITORIAL: SOUTH AFRICA'S STINGING TRUTHS ,511,The New York Times said in an editorial on Sunday Nov.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/NYT19981031.0150
108,British police arrest Pinochet on Spanish warrant,143,LONDON (AP) _ Former Chilean dictator Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/APW19981017.0507
109,REPUBLICANS LIST TERMS FOR IMF PAYOUT ,558,WASHINGTON _ Republican congressional leaders presented theClinton administration Thursday with a list of lending conditionsthat they want imposed on the International Monetary Fund in orderfor Congress to approve $18 billion in new money for the IMF. Administration and congressional officials said they werehopeful that they could soon agree on compromise legislation toprovide the money to the IMF to refill reserve accounts depleted bythe fund's attempts to bail out the economies of Russia and threeAsian nations. But they said they were still without a timetable for anagreement.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981008.0412
110,Turkey's Islamic party avoids confrontation over leading next,580,ANKARA Turkey (AP) _ The head of Turkey's pro-Islamic partysaid Thursday he would not insist on his rightful chance to leadTurkey's next government heading off a confrontation with themilitary that would only deepen the nation's political crisis.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981126.0971
111,Mourning and dread wrack Swedes after fire kills 60 teens at dance,831,GOTEBORG Sweden (AP) _ Hundreds of teen-agers jammed into anupstairs hall planning to dance the night away but by the time thesun rose Friday they were dead clinging to life in hospitals orweeping in disbelief at a fire that killed 67 of them.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981030.1066
112,Turkey's Islamic party avoids confrontation over leading next,432,ANKARA Turkey (AP) _ The head of Turkey's pro-Islamic partysaid Thursday he would not insist on his rightful chance to leadTurkey's next government heading off a confrontation with themilitary that would only deepen the nation's political crisis.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981126.1022
113,ACTING FOR U.S. SAUDIS ASKED TALIBAN TO DEPORT BIN LADEN  ,1197,WASHINGTON _ Urged on by the Clinton administration SaudiArabia's top intelligence official met privately with the leader ofthe Taliban in late September to try to persuade Afghanistan todeport Osama bin Laden the Saudi exile suspected of mastermindingthe August bombings of two American embassies in East Africaaccording to U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981017.0140
114,Pope John Paul II beatifies controversial World War II cardinal,254,MARIJA BISTRICA Croatia (AP) _ Declaring him a martyr of thefaith Pope John Paul II on Saturday honored Croatia's World War IIcardinal a hero to Roman Catholics but long a symbol of divisionsin the Balkans.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981003.0492
115,Turkish military launches new incursion into northern Iraq,537,ANKARA Turkey (AP) _ About 10000 Turkish soldiers have crossedinto northern Iraq to attack Kurdish rebels and the governmentsaid it might send forces into Syria to eradicate guerrilla basesthere news reports said Saturday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981003.0741
116,Blast kills 2 bombers injures 16 others delays action on accord,383,JERUSALEM (AP) _ Suicide bombers targeted a crowded open-airmarket Friday setting off blasts that killed the two assailantsinjured 21 shoppers and passersby and prompted the Israeli Cabinetto put off action on the new peace accord.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981106.1126
117,Bosnian Serb pleads guilty to 14 murders at U.N. tribunal,117,THE HAGUE Netherlands (AP) _ Handing the Yugoslav war crimestribunal only its third conviction a Bosnian Serb Thursday pleadedguilty to 14 murders.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981029.0281
118,U.S. taxpayers will pay huge sums to rebuild Puerto Rican homes,557,SAN JUAN Puerto Rico (AP) _ At a shelter in Puerto Rico lastweek Hillary Rodham Clinton spoke of a dlrs 39 million dollar U.S.grant to rebuild hurricane-ravaged homes.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/APW19981004.0574
119,TIMES POLL SHOWS SCHUMER D'AMATO IN TIGHT RACE FOR SENATE ,710,Sen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981007.0352
120,DEMOCRAT LOSES GROUND IN ILLINOIS SENATE RACE ,1245,CHICAGO _ She says he is ``duplicitous'' a ``wolf in sheep'sclothing'' who has resorted to ``scuzzball'' campaign tactics inthe past.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981007.0353
121,PUSH TO BUY PALM SHOWS MICROSOFT'S AGGRESSION IS CONSISTENT ,696,SAN FRANCISCO _ In a recent move that indicated he has nointention of backing away from his company's aggressive businesstactics Microsoft Corp.'s chairman Bill Gates has proposedacquiring the software business behind 3Com Corp.'s popular PalmPilot hand-held computer according to people who have been briefedon the discussions. The offer made in an August meeting with 3Com's chairman EricBenhamou was not accepted by 3Com executives those people say. But certainly Gates is said to have dangled an alluringkingmaker's deal: If 3Com were willing to sell off its softwarebusiness a market favorite compared with Microsoft's Windows CEoperating system Gates would make the company's remaining PalmComputing hardware business ``the Compaq Computer of the hand-heldmarket.'' Officials of both companies declined to confirm or deny word ofthe meeting at Microsoft's Redmond Wash. headquarters at whichthe two executives discussed a variety of strategic possibilitiesbetween the two companies according to several people privy to thediscussions. Though the proposal was unsuccessful the approach providesgraphic insight into Microsoft's business tactics.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981018.0102
122,POPE BEATIFIES A CROAT FANNING ENMITIES ,1089,MARIJA BISTRICA Croatia _ Hailing the World War II archbishopof Zagreb as a martyr to ``the atrocities of the communistsystem'' Pope John Paul II beatified him on Saturday. Beatification is the final step before sainthood.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/NYT19981003.0082
123,Mubarak in Syria over rising tension with Turkey,388,DAMASCUS Syria (AP) _ Egyptian President Hosni Mubarak flew toDamascus on Sunday to try to defuse growing tension between Syriaand Turkey.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981004.0180
124,Fire at Halloween teen dance kills 60,844,GOTEBORG Sweden (AP) _ A fire turned a dance hall jammed withteen-age Halloween revelers into a deathtrap killing 60 people andinjuring 162 others in Sweden's second-largest city.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981030.1037
125,DEMOCRAT LOSES GROUND IN ILLINOIS SENATE RACE ,1245,CHICAGO _ She says he is ``duplicitous'' a ``wolf in sheep'sclothing'' who has resorted to ``scuzzball'' campaign tactics inthe past.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981007.0355
126,MAN WHO CLAIMS TO HAVE SURVIVED KOSOVO MASSACRE DESCRIBESKILLINGS ,1259,GOLUBOVAC Yugoslavia _ A 42-year-old man who says he is thelone survivor of a massacre in which 13 ethnic Albanians weresummarily shot and killed in this village in Kosovo recalledThursday how he was herded into a garden with other men and told tolie flat on the ground. Heads to the fence feet toward the house!,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/NYT19981001.0377
127,Family of bomber expresses pride; Arafat vows to hunt masterminds,624,JERUSALEM (AP) _ The father of one of the Islamic militants whodied in the suicide bombing of a crowded Jerusalem market saidSaturday he was sad about his son's death but proud of what he haddone.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981107.0131
128,Election of governors could influence Brazilian president's,563,RIO DE JANEIRO Brazil (AP) _ With President Fernando HenriqueCardoso's economic austerity plan at a critical point for Brazilvoters went to the polls Sunday to elect governors in 12 states andthe Federal District of Brasilia.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/APW19981025.0395
129,Cathay Pacific Philippine Airlines disagree over retrenchment of,598,MANILA Philippines (AP) _ Ailing Philippine Airlines andprospective investor Cathay Pacific Airways have clashed over thelaying off of PAL workers prompting PAL to revive talks withanother foreign airline an official said Tuesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981124.0261
130,REPORTS OF MILITARY EXECUTIONS IN EAST TIMOR TO BE INVESTIGATED ,531,JAKARTA Indonesia _ Indonesia's National Commission on HumanRights will investigate accusations that soldiers executed as manyas 50 people this month in the troubled province of East Timor in amilitary operation against armed rebels the government saidTuesday. Marzuki Darusman the commission's vice president said a seniorcommission member would investigate allegations of the executionsand of arbitrary arrests by the armed forces between Nov.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/NYT19981124.0353
131,PINOCHET'S ARREST PUTS BLAIR'S GOVERNMENT IN A TIGHT SPOT ,680,LONDON _ Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/NYT19981018.0098
132,METEOR STORM POSES THREAT TO SATELLITES ,1328,Chicken Little would love this one.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981115.0065
133,FAA ORDERS AIRLINES TO CHECK MD-11 COCKPIT SWITCHES ,294,WASHINGTON _ The Federal Aviation Administration on Thursdayabruptly ordered airlines that fly MD-11s to inspect two cockpitswitches because one model in wide use can give off smoke atcertain settings. But such switches did not cause the crash of the MD-11 beingflown as Swissair Flight 111 on Sept.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/NYT19981112.0477
134,Philippine Airlines resumes international flights Sunday,403,MANILA Philippines (AP) _ President Joseph Estrada saidSaturday the financially troubled Philippine Airlines will resumeits international flights on Sunday by flying him to Singaporewhere he will address the World Economic Forum.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981010.0163
135,MURDERED DOCTOR REMEMBERED AS CONSCIENTIOUS AND COURAGEOUS ,1270,AMHERST N.Y.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981025.0178
136,Indonesian lawmakers chide Portuguese effort to extradite Suharto,333,JAKARTA Indonesia (AP) _ Indonesian legislators on Fridaychided a Portuguese effort to extradite former President Suhartodescribing the proposal as impossible and unreasonable.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981120.0282
137,BRAZIL PLANS $20 BILLION IN TAX HIKES BUDGET CUTS ,805,BRASILIA Brazil _ As a three-man economic team headed forWashington and President Fernando Henrique Cardoso flew off toPortugal Brazilian government officials put the finishing touchesFriday on an ambitious package to raise $20 billion in revenuesthrough spending cuts and tax increases next year. But public announcement of those measures eagerly awaited byinvestors and markets throughout Latin America appear set fordelay once again.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981016.0286
138,82 dead as Typhoon Babs ravages northern Philippines,593,MANILA Philippines (AP) _ Typhoon Babs headed toward southernChina Friday after battering the central and northern Philippineswith heavy winds and rain that killed at least 82 people flattenedcrops and drove more than 100000 people from their homes.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981023.0551
139,Truth Commission spares de Klerk in final report on apartheid,561,CAPE TOWN South Africa (AP) _ A panel investigatingapartheid-era atrocities said Wednesday it will not implicate thelast apartheid president F.W.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/APW19981028.0231
140,Precede TEL AVIV,209,JERUSALEM (AP) _ Signaling it does not want to be involved inany potential military confrontation between Syria and TurkeyIsrael is limiting routine exercises along its own border withSyria.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981004.0175
141,SCORES OF YOUTHS DIE IN CLUB FIRE IN SWEDEN ,945,GOTEBORG Sweden _ They were teen-agers whose parents hadbrought them here from homes torn by war or terror _ from BosniaEritrea Somalia and others _ and in their new country they formednew bonds through school and music and parties. About 65 of the young people died and more than 190 wereseriously injured late Thursday night when fire and smoke engulfedan overcrowded makeshift discotheque that had only one unlockeddoor. The fire was the deadliest this country has seen in decades andit was all the more painful because it highlighted the profounddivide between native Swedes and the rainbow of immigrants who havefound refuge here over the decades. Almost all of the victims were teenagers between the ages of 13and 17 who had packed into a Halloween hip-hop party at a hallowned by a Macedonian civic organization.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/NYT19981030.0329
142,Turkish leader warns against political vacuum,392,ANKARA Turkey (AP) _ One of Turkey's leading politicians warnedSunday that a political vacuum could cripple the domestic battle tokeep Islamists at bay and in the fight abroad for the extraditionof a Kurdish rebel leader.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981129.0435
143,At least 60 killed in fire at Halloween dance in Sweden,304,GOTEBORG Sweden (AP) _ A fire turned a Swedish dance halljammed with teen-age Halloween revelers into a deathtrap killing60 people and injuring 155.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981030.1046
144,UN chief doesn't rule out Libyan visit U.N. officials optimistic,503,UNITED NATIONS (AP) _ Secretary-General Kofi Annan saidWednesday that he is considering a trip to Libya next week thatcould close a deal to try Libyan suspects in the Pan Am Lockerbiebombing.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981125.0903
145,Mubarak in Syria over rising tension with Turkey,390,DAMASCUS Syria (AP) _ Egyptian President Hosni Mubarak flewhere on Sunday to try to defuse growing tension between Syria andTurkey.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981004.0172
146,Death toll from Polish cold up to 32,171,WARSAW Poland (AP) _ An Arctic cold wave that hit Poland a weekago has killed 32 people police said Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981123.0259
147,Libyan leader says he wants improved relationship with United,563,LONDON (AP) _ Libyan leader Moammar Gadhafi said the suspects inthe Lockerbie bombing are ''very happy'' to be tried in theNetherlands and he hoped the trial would lead to a betterrelationship with the United States.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981020.1108
148,Libya denies it is delaying the hand-over of the Lockerbie suspects,360,CAIRO Egypt (AP) _ Libya has denied U.S._British allegationsthat it is delaying the hand-over of two men wanted for the blowingup of an American airliner over Lockerbie Scotland.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981028.0445
149,Philippine president donates one-year salary to typhoon victims,285,MANILA Philippines (AP) _ President Joseph Estrada on Thursdaydonated 600000 pesos (dlrs 15000) the equivalent of his salaryfor one year to a fund for victims of recent typhoons in thePhilippines the presidential palace said.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981029.0560
150,Iranians vote in key assembly election amid fears of low turnout,660,TEHRAN Iran (AP) _ Iranians voted Friday to elect a keyassembly expected to be dominated by hard-line clergymen who favorunhindered powers for Iran's supreme leader.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981023.0519
151,Mubarak says peace unlikely under Netanyahu,453,CAIRO Egypt (AP) _ Egypt's president says there is ``virtuallynobody'' who believes Israeli Prime Minister Benjamin Netanyahuwill implement the latest peace deal with Palestinians.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981107.0143
152,China says dissidents endangered the country,533,BEIJING (AP) _ China's government said Thursday that twoprominent dissidents arrested this week are suspected ofendangering national security _ the clearest sign yet Chineseleaders plan to quash a would-be opposition party.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/APW19981203.0338
153,Fire at Halloween teen dance kills 60,143,GOTEBORG Sweden (AP) _ A fire turned a dance hall jammed withteen-age Halloween revelers into a deathtrap killing 60 people andinjuring 162 others in Sweden's second-largest city.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981030.1041
154,EDITORIAL: BRAZIL'S ECONOMIC TROUBLES ,500,The New York Times said in editorial for Wednesday Oct.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/NYT19981006.0468
155,Brazil's Cardoso assumes second term amid vastly lower,740,RIO DE JANEIRO Brazil (AP) _ This time around the presidentialRolls Royce is staying in the garage.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/APW19981231.0565
156,JUDGE TO REVIEW COMPLAINTS OF EMBASSY BOMBING DEFENDANTS,460,NEW YORK _ A federal district judge agreed Tuesday to reviewcomplaints by lawyers for three men arrested after the bombings oftwo U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981110.0432
157,CLINTON'S AIDES AND GOP TRY TO RESOLVE BUDGET ISSUES ,640,WASHINGTON _ With three days until temporary financing of thegovernment expires Republican leaders met Wednesday night withWhite House officials in their first high-level attempt to resolvedozens of spending issues and avoid a government shutdown. The unresolved issues include financing for the InternationalMonetary Fund how to conduct the 2000 census and billions ofdollars in extra spending for items that the administration deemsemergencies like the peacekeeping mission in Bosnia the year 2000computer bug and disaster relief for farmers. Speaker Newt Gingrich Sen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981007.0399
158,Cooking oil prices rising in Philippines due to shortfall,324,MANILA Philippines (AP) _ The price of cooking oil in thePhilippines has risen drastically this month because of retailersspeculating on a shortfall in copra production the government saidThursday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981112.0305
159,United Nations envoy sees progress on East Timor dispute,303,LISBON Portugal (AP) _ A U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981104.0812
160,War crimes investigation mission to begin next month,187,THE HAGUE Netherlands (AP) _ A delegation of U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981021.0246
161,WORDS OF PRETORIA REPORT: `EXTRAJUDICIAL KILLING' ,984,PRETORIA South Africa _ Following are excerpts from the finalreport issued by South Africa's Truth and Reconciliation Commissionon Thursday: PRIMARY FINDING On the basis of the evidence available to it the primaryfinding of the Commission is that: The predominant portion of gross violations of human rights wascommitted by the former state through its security andlaw-enforcement agencies. Moreover the South African state in the period from the late1970's to early 1990's became involved in activities of a criminalnature when amongst other things it knowingly planned undertookcondoned and covered up the commission of unlawful acts includingthe extrajudicial killing of political opponents and others insideand outside South Africa. In pursuit of these unlawful activities the state acted incollusion with certain other political groupings most notably theInkatha Freedom Party (I.F.P.).,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/NYT19981029.0366
162,U.S. RECEIVED WARNING BEFORE NAIROBI EMBASSY BOMBING ,1051,NAIROBI Kenya _ Nine months before the attack on the AmericanEmbassy here U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981022.0453
